Model_id,Year,i_import,diffiv_local_0,diffiv_local_1,diffiv_local_2,diffiv_local_3,diffiv_ed_0,blpiv_0,blpiv_1,blpiv_2,blpiv_3,blpiv_4,blpiv_5
1,1997,0,45,29,36,32,95.48187829501882,31.23469986021519,45.81070423126221,6.686002790927887,0,0,6
1,1998,0,43,36,30,32,95.31353102682853,26.37788206338882,47.04082870483398,6.731752634048462,0,0,6
1,1999,0,45,50,27,27,100.4105137987108,34.6871193498373,61.96866226196289,8.384524464607239,0,1,6
1,2000,0,49,50,34,23,107.603029526705,45.50394136458635,63.40733695030212,9.131960988044739,0,2,8
1,2001,0,19,29,38,52,118.3018810156908,44.73146619275212,72.00233054161072,9.712196528911591,0,1,8
1,2002,0,23,36,39,47,112.5974461915818,38.74630462378263,66.95863461494446,9.453570902347565,0,2,5
1,2003,0,35,42,43,44,115.7588491868882,47.17353228479624,73.54872155189514,10.13474601507187,0,3,6
2,2012,0,66,54,25,24,162.028066415342,85.98461821675301,81.56641340255737,11.74869358539581,0,0,5
2,2013,0,64,61,27,22,167.6132833719227,85.1699024438858,89.76108741760254,12.59669470787048,0,0,6
2,2014,0,69,53,32,20,167.9897628754721,76.38047263026237,90.21048736572266,12.40152031183243,0,0,5
2,2015,0,66,50,30,21,153.2132847037136,47.52425402402878,76.50697231292725,10.8002023100853,0,0,4
3,2001,0,15,16,20,31,138.3550977574505,43.98891227319837,72.97848296165466,9.476428925991058,0,1,8
3,2002,0,14,18,25,33,129.6893430336014,38.06676771491766,67.9347870349884,9.187981903553009,0,2,5
3,2003,0,31,24,37,44,121.6231506223125,46.3950602337718,74.15051865577698,9.860092043876648,0,3,6
3,2004,0,32,26,45,53,128.9091919945618,47.09971528500319,65.32096815109253,8.605882048606873,0,2,5
3,2005,0,32,29,41,55,131.132007564761,55.30713945627213,67.77778005599976,8.675910711288452,0,2,5
3,2006,0,35,40,42,53,131.9243880280071,63.68598341941833,71.29246425628662,9.345106363296509,0,1,6
3,2007,0,28,38,47,51,150.4064178635866,68.97793710231781,72.18373823165894,9.574193358421326,0,1,5
3,2008,0,23,40,41,45,151.3324500039464,76.6969233751297,72.18509197235107,9.630650877952576,0,1,5
3,2009,0,27,39,40,47,145.6364501977464,59.16255563497543,76.73320865631104,10.43512028455734,0,1,6
3,2010,0,29,38,36,39,137.3485493017926,77.8033971786499,87.32171678543091,12.37108886241913,0,0,6
3,2011,0,32,34,35,39,144.4146602593835,84.71802808344364,79.32677793502808,11.60003077983856,0,0,5
3,2012,0,32,28,35,41,146.4399283613642,82.70510695874691,80.19147443771362,11.42595666646957,0,0,5
3,2013,0,33,35,36,42,151.5392139300973,82.0299569517374,88.38614845275879,12.27395778894424,0,0,6
3,2014,0,48,44,49,38,142.9800613868947,74.95874837040901,88.41871500015259,12.10765945911407,0,0,5
3,2015,0,48,38,51,30,130.6318016267869,46.48308530449867,74.84425687789917,10.50634145736694,0,0,4
5,2007,0,63,68,36,34,144.523093066942,69.47058811783791,72.67691564559937,9.698075354099274,0,1,5
5,2008,0,78,50,40,29,145.471363191838,78.03900316357613,72.6782693862915,9.784472823143005,0,1,5
5,2009,0,61,57,46,33,139.4145837015753,59.7656112164259,77.24621152877808,10.58894222974777,0,1,6
5,2010,0,56,52,46,23,135.8129947850523,78.42380851507187,87.65648031234741,12.521091401577,0,0,6
5,2011,0,53,57,41,31,139.5016442573722,85.47887243330479,79.66154146194458,11.75003331899643,0,0,5
5,2012,0,53,63,40,28,139.7218351691181,83.48286114633083,80.52623796463013,11.57595920562744,0,0,5
5,2013,0,49,49,45,39,142.347262555004,83.72915051877499,87.86034870147705,12.42396032810211,0,0,6
5,2014,0,50,48,46,42,142.2904642706892,75.01744665205479,88.20009899139404,12.2106192111969,0,0,5
5,2015,0,45,45,48,33,130.1289705259871,46.52607142925262,74.49658393859863,10.60930120944977,0,0,4
6,1996,1,11,13,14,25,117.6981534588352,28.68724744766951,38.14423656463623,5.956194221973419,0,1,5
6,1997,1,11,26,29,26,108.1287701938337,30.61305824667215,45.46138906478882,6.656422674655914,0,0,5
6,1998,1,16,24,29,31,103.6281764263641,25.85258111357689,46.64257669448853,6.702172517776489,0,0,5
6,1999,1,17,28,31,41,105.9344446761498,34.08237043768167,61.73446750640869,8.324112772941589,0,1,5
6,2000,1,21,31,32,42,111.6285096148922,44.6342071518302,63.19865727424622,9.067406177520752,0,2,7
6,2001,1,24,37,38,46,115.1276610271025,44.19080810621381,73.04324555397034,9.671405971050262,0,1,7
6,2002,1,22,35,39,48,113.2671364528725,38.25152944773436,67.62732815742493,9.38073742389679,0,2,4
6,2003,1,39,39,45,42,115.4739608500246,46.60672191530466,74.29307579994202,10.0900656580925,0,3,5
6,2004,1,38,49,49,39,123.8656452823195,47.34328407794237,65.49508190155029,8.836913585662842,0,2,4
6,2005,1,22,26,33,38,141.8946830729209,55.88584654033184,66.20137786865234,8.870448291301727,0,2,4
